COMMODITY,Calories (per 100g),Protein (mg per g),Fat (mg per g)
ALFALFA MEAL,265,305,20 
ALMONDS ,236,80,209 
ALMONDS SHELLED ,589,200,522 
ANISE ,345,158,149 
APPLE JUICE CONCENTRATED ,166,5,4 
APPLE JUICE SINGLE STRENGTH ,47,1,1 
APPLES ,48,1,3 
APRICOTS ,45,13,4 
ARECA NUTS ,245,49,44 
ARTICHOKES ,20,11,1 
ASPARAGUS ,12,16,1 
AVOCADOS ,119,15,113 
BACON PIGS ,362,131,341 
BAMBARA BEAN,365,177,63 
BANANAS ,60,7,3 
BARLEY ,332,120,18 
BARLEY FLOUR AND GRITS,343,92,17 
BARLEY PEARL,346,90,14 
BEANS DRY,341,221,17 
BEANS GREEN,50,30,4 
BEEF BONLESS,150,185,79 
BEEF CANNED ,233,250,140 
"BEEF DRIED, SALT, SMOKED ",203,343,63 
BEEF PREPARATIONS ,233,250,140 
BEEF VEAL ,225,147,180 
BEER BARLEY ,49,5,0 
BEER MAIZE ,40,4,0 
BEER MILLET ,40,4,0 
BEER SORGHUM,40,4,0 
BEET PULP DRY ,288,111,6 
BERRIES NES ,49,10,7 
BEVERAGES DISTILLED. ALCOHOLIC ,295,0,0 
BEVERAGES NON ALCOHOLIC,39,0,0 
BLUEBERRIES ,120,7,4 
BRAN RICE ,276,133,158 
BRAN WHEAT ,213,121,31 
BRAZIL NUTS ,315,69,318 
BRAZILNUT SHELLED,656,143,662 
BROAD BEANS GROUND ,23,23,1 
BROAD BEANS DRY,343,234,20 
BREAD ,249,82,12 
BREAKFEAST CERLEALS,389,74,7 
BUCKWHEAT ,330,120,20 
BUFFALO MEAT,77,113,31 
BUFFALO MILK,97,38,69 
BULGUR ,345,123,20 
BUTTER BUFFALO/td> ,717,9,811 
BUTTER SHEEP,716,6,810 
BUTTER COWS,717,9,811 
BUTTER GOAT,717,9,811 
BUTTER CURDLED MILK,75,30,52 
CABBAGES ,19,10,1 
CAKE OF GROUNDNUTS,363,417,76 
CAKE OF SESAME SEED ,376,407,34 
CAKE SOYBEAN,261,460,50 
CAMEL MILK ,73,38,45 
CANARY SEED ,388,160,60 
CANNED MUSHROOMS ,24,19,3 
CAROBS ,111,16,5 
CARROTS ,38,9,2 
CASEIN ,427,1000,0 
CASHEW NUTS ,252,77,206 
CASHEW SHE ,574,153,464 
CASHEWAPPLE ,43,8,6 
CASSAVA ,109,9,2 
CASSAVA DRIED ,212,28,7 
CASSAVA LEAVES,53,58,11 
CASSAVA STARCH,362,5,3 
CASSAVA TAPIOCA ,362,5,3 
CATTLE BUTCHER FAT,847,20,930 
CAULIFLOWER ,9,8,1 
CEREALS NES ,340,80,15 
CHEESE OF BUFFALO MILK,269,169,220 
CHEESE SKIM COW MILK,247,460,40 
CHEESE WHOLE COW MILK,387,250,310 
CHERRIES ,65,11,9 
CHESTNUTS ,158,18,17 
CHICK PEAS ,358,201,45 
CHICKEN MEAT,122,123,77 
CHICORY ROOT,60,11,2 
CHILLIES AND PEPPERS GRN,25,11,3 
CHOCOLATE PRODUCTS NS,393,42,357 
CINNAMON ,261,39,32 
CITRUS FRUIT NES,26,5,2 
CITRUS JUICE CONCENTRATED,157,21,5 
CITRUS JUICE SINGLE STRENGTH,47,6,2 
CLOVES ,323,60,201 
COCOA BEANS ,414,40,400 
COCOA BUTTER,711,0,850 
COCOA PASTE ,472,17,440 
COCOA POWDER,261,173,190 
COCONUTS ,184,17,174 
COCONUTS DESICATED,660,69,645 
COFFEE EXTR ,129,40,0 
COFFEE ROAST,56,80,0 
COFFEE SUBST,56,80,0 
COFFEE GREEN,47,67,0 
COPRA ,636,60,614 
COTTONSEED ,253,173,179 
COW MILK ,61,33,33 
COW PEASDRY,342,234,18 
COWMILK DRY ,496,263,267 
CRANBERRIES ,47,4,2 
CREAM FRESH,195,27,193 
CUCUMBERS AND GHERKINS,13,5,1 
CURRANTS ,59,14,3 
DATES ,156,15,4 
DRIED MUSHROOMS ,296,96,10 
DRY APRICOTS,238,37,5 
DRY BUTTERMILK,387,343,58 
DRY WHEY ,346,123,8 
DUCK MEAT ,291,83,283 
EGG ALBUMINE,49,101,0 
EGGPLANTS ,21,9,1 
EGGS DRY HEN,594,458,418 
EGGS LIQUID HEN ,158,121,112 
EGGS POULTRY,163,113,121 
EXTRACT TEA,18,45,0 
FAT POULTRY,629,37,680 
FAT BUFFALO ,847,20,930 
FAT CAMEL ,847,20,930 
FAT CATTLE ,847,20,930 
FAT LIVER PR,462,114,438 
FAT OF GOATS,847,20,930 
FAT OF SHEEP,902,0,1000 
"FAT, OTHER CAMELIDS",847,20,930 
FAT PIGS ,712,47,767 
FAT RENDERED POULTRY,901,0,998 
FATS PREP NS,720,6,810 
FERMENTED BEVERAGES,47,1,0 
FIGS ,73,8,3 
FIGS DRIED ,253,30,12 
FLOUR BUCKWHEAT,344,64,12 
FLOUR CASSAVA ,338,15,6 
FLOUR FONIO ,355,90,22 
FLOUR FRUIT ,346,39,18 
FLOUR MAIZE ,363,84,12 
FLOUR MILLET,340,97,30 
FLOUR MIX GRAIN,364,100,11 
FLOUR MUSTARD,469,264,363 
FLOUR POTATO ,355,85,4 
FLOUR PULSES,340,220,20 
"FLOUR, ROOTS TUBERS",282,50,6 
FLOUR RYE ,341,90,18 
FLOUR SORGHM,343,101,33 
FLOUR TRITICALE,341,114,21 
FLOUR WHEAT ,364,109,11 
FONIO ,338,80,30 
FOOD PREP ,41,12,5 
"FRUIT TROPICAL DRY, NES",267,28,6 
FROZEN POTATOES,73,12,0 
FRUIT TROPICAL NES,41,5,7 
FRUCTOSE CHE,375,0,0 
FRUIT DR NES,267,28,6 
FRUIT JUICE ,48,5,1 
FRUIT NES ,45,5,5 
"FRUIT PREPARED, NES",36,5,2 
FRUIT NUTS PRESERVED,212,6,0 
GAME MEAT ,104,180,30 
GARLIC ,130,120,4 
GERM MAIZE ,373,111,385 
GERM WHEAT ,382,291,107 
GHEE BUFFALO,873,3,991 
GHEE COWS ,873,3,991 
GINGER ,347,91,60 
GLUC. DEXTR.,368,0,0 
GOAT CHEESE ,280,160,150 
GOAT MEAT ,123,140,70 
GOAT MILK ,69,36,41 
GOOSE MEAT ,301,129,272 
GOOSEBERRIES,44,9,6 
GRAPE JUICE ,61,6,1 
GRAPEFRUIT JUICE CONCENTRATED/td> ,146,20,5 
GRAPEFRUIT JUICE SINGLE STRENGTH,39,5,1 
GRAPEFRUIT ,16,3,1 
GRAPES ,53,5,4 
GREEN CORN ,56,21,8 
GROUNDNT SHE,567,257,492 
GROUNDNUTS ,414,187,359 
HAZELNUTS ,291,60,288 
HAZELNUTS SH,632,130,626 
HEN EGGS ,139,107,98 
HOMOGENIZED COOKED FRUIT,59,3,0 
HOMOGENIZED VEGETABLE PREPARATIONS ,41,12,5 
HOMOGENIZED MEAT PREPARATIONS ,120,137,57 
HONEY ,298,4,0 
HORSEMEAT ,85,1120,20 
ICE CREAM AN,149,20,67 
INFANT FOOD ,368,152,29 
ISOGLUCOSE ,318,0,0 
"JUICE VEGETABLE, NES",19,6,1 
"KARITE NUTS, BUTTER",711,0,850 
KARITE NUTS ,579,68,490 
KIDS MEAT ,123,140,70 
KIWI FRUIT ,52,9,4 
KOLANUTS ,355,90,20 
LACTOSE ,387,0,0 
LAMB MEAT ,119,128,71 
LARD ,902,0,1000 
LEEKS AND OTHER ALLIACEOUS,37,7,1 
LEMON JUICE CONCENTRATED ,116,23,9 
LEMON JUICE SINGLE STRENGTH,22,5,3 
LEMONS LIMES,15,6,2 
LENTILS ,346,242,18 
LETTUCE ,12,11,2 
LINSEED ,498,180,340 
LIVER PREPAR,315,136,28 
LUPINS ,390,400,130 
MACARONI ,367,120,11 
MAIZE ,356,95,43 
MAIZE GLUTEN,380,950,0 
MALT BARLEY ,368,131,19 
MALT EXTRACT,367,60,0 
MALTOSE CHEM,375,0,0 
MANGO JUICE ,62,3,4 
MANGO PULP ,65,5,3 
MANGOES ,45,4,2 
MAPLE SUGAR ,348,0,0 
MARGARINE ,720,6,810 
MATE ,40,100,0 
MEAT ASSES ,94,150,30 
MEAT CAMEL ,174,127,132 
MEAT CANNED CHICKEN,165,218,80 
MEAT DRY NES,250,1204,15 
MEAT EXTRACT,238,160,89 
MEAT MULES ,94,150,30 
MEAT NES ,126,164,60 
MEAT OTHER CAMELIDS,143,146,90 
MEAT POULTRY,185,171,124 
MEAT PR NES ,242,206,169 
MEAT PR PIG ,239,161,188 
MEAT RODENTS,81,162,14 
MELONS ,17,4,1 
MELONSEED ,400,182,339 
MILLED PADDY RICE,360,67,7 
MILLED/HUSKED RICE,360,64,8 
"MILK SKIMMED, BUFFALO",41,43,1 
"MILK SKIMMED DRY, COW",362,362,8 
MILLET ,340,97,30 
MIXED GRAIN ,340,80,15 
MOLASSES ,232,0,0 
MUSHROOMS ,24,20,4 
MUST GRAPES ,61,6,1 
MUSTARD SEED,469,249,288 
MUTTON LAMB ,263,135,228 
NUTMEG ,525,58,363 
NUTS NES ,262,70,250 
OATS ,385,130,75 
OATS ROLLED,384,160,63 
OFFALS BUFFALO,105,184,25 
OFFALS CHICKEN,125,180,39 
OFFALS CAMEL,105,184,25 
OFFALS CAMEL,105,184,25 
OFFALS CATTLE,105,184,25 
OFFALS GOATS,117,146,57 
OFFALS HORSE,105,184,25 
OFFALS LIVER DUCKS,136,187,46 
OFFALS LIVER GEESE,133,164,43 
OFFALS LIVER TURKEY,137,200,40 
OFFALS NES ,105,184,25 
OFFALS PIGS ,113,183,35 
OFFALS SHEEP,117,146,57 
OIL CASTOR BEANS,884,0,1000 
OIL COCONUTS,884,0,1000 
OIL COTTON SEED,884,0,1000 
OIL GROUNDNUTS,884,0,1000 
OIL HEMPSEED ,884,0,1000 
OIL LINSEED ,884,0,1000 
OIL MAIZE ,884,0,1000 
OIL MEALS ,393,372,156 
OIL MUSTARD SEED ,884,0,1000 
OIL OF KAPOK,884,0,1000 
OIL OLIVES,884,0,1000 
OIL PALM FRUIT ,158,3,132 
OIL POPPY SEED ,884,0,1000 
OIL RAPESEED,884,0,1000 
OIL RICE BRAN,884,0,1000 
OIL SAFFLOWER ,884,0,1000 
OIL SEEDS NES ,884,0,1000 
OIL SOYABEAN,884,0,1000 
OIL SUNFLOWER SEED ,884,0,1000 
OIL VEGETABLE ORIGIN NES,884,0,1000 
OIL PALM KERNEL,884,0,1000 
OILS ANIMAL ,902,0,1000 
OILS BOILED ,902,0,1000 
OILS FISH ,902,0,1000 
OILS HYDROGENATED,720,6,810 
OILSEEDS NES,387,147,317 
OKRA ,31,16,3 
OLIVE OIL ,884,0,1000 
OLIVES ,175,13,175 
OLIVES PRESERVED ,109,11,111 
ONIONS DRY ,31,11,2 
ONIONS GREEN,24,17,1 
ORANGES ,34,7,1 
ORANGE JUICE CONCENTRATED ,159,24,2 
ORANGE JUICE SINGLE STRENGTH,42,6,1 
OTHER FRUCTOSE,298,3,0 
PALM KERNELS,514,73,434 
PALM OIL ,884,0,1000 
PAPAYAS ,26,4,1 
PASTRY ,369,74,170 
PEACHES ,33,5,1 
PEANUT BUTTER,589,243,500 
PEARS ,54,4,4 
PEAS DRY ,346,225,18 
PEAS GREEN ,31,21,2 
PEELED TOMATOES,19,9,2 
PEPPER-WHITE BLACK LONG,276,107,27 
PERSIMMONS ,82,6,3 
PIG BUTCHER FAT ,712,47,767 
PIGEON PEAS ,343,209,17 
PIGEONS OTHER,226,142,183 
PIGMEAT ,326,120,310 
PIMENTO ,318,120,173 
PINEAPPLE CANNED,78,4,1 
PINEAPPLE JUICE CONCENTRATED,179,13,1 
PINEAPPLE JUICE SINGLE STRENGTHG,56,3,1 
PINEAPPLES ,26,2,2 
PISTACHIOS ,289,103,242 
PLANTAINS ,75,8,3 
PLUM JUICE CONCENTRATED ,215,20,1 
PLUM JUICE SINGLE STRENGTH,71,6,0 
PLUMS ,52,7,6 
PLUMS DRIED,208,23,5 
POME FRUIT ,48,4,3 
POP CORN ,356,95,43 
POPPY SEED ,533,180,447 
PORK ,220,134,180 
POT BARLEY ,348,96,11 
POTATO STARCH ,362,5,3 
POTATO TAPIOCA ,362,5,3 
POTATOES ,67,16,1 
PREPARED GROUNDNUTS,580,268,492 
PREPARED NUTS ,615,1120,562 
PROCESSED CHEESE ,103,125,45 
PULSES NES ,340,220,20 
PUMPKINS SQUASH GROUDS,19,9,1 
QUINCES ,35,2,1 
QUINOA ,342,120,50 
RABBIT MEAT ,118,170,50 
RAISINS ,299,32,5 
RAPESEED ,494,196,450 
RASPBERRIES ,47,9,5 
RECONSTITUTED MILK ,61,18,34 
RICE FERMENTED BEVERAGES,133,3,0 
RICE FLOUR ,366,64,8 
RICE GLUTEN ,380,950,0 
RICE PADDY ,280,60,14 
RICE BROKEN ,360,67,7 
RICE HUSKED ,357,75,18 
RICE STARCH ,362,5,3 
ROOTS AND TUBERS DRY,282,50,6 
ROOTS AND TUBERS NES,91,16,2 
RYE ,319,120,19 
SAFFLOWER ,314,97,303 
SAUSAGE BEEF,313,117,284 
SAUSAGES PIG,417,117,403 
SESAME SEED ,573,177,497 
SHEEP CHEESE,310,232,228 
SHEEP MILK ,94,59,60 
"SKIMMED MILK, CONDENSED",271,100,2 
"SKIMMED MILK, COWS",35,34,2 
"SKIMMED MILK, GOAT",35,34,2 
"SKIMMED MILK, SHEEP",48,61,4 
SKIMMED MILK EVAPORATED ,78,76,2 
SNAILS ,42,63,5 
SORGHUM ,343,101,33 
SOUR CHERRY ,45,9,3 
SOYA CURD ,58,63,31 
SOYA PASTE ,114,120,58 
SOYA SAUCE ,56,120,5 
SOYBEANS ,335,380,180 
SPICES NES ,337,113,1120 
SPINACH ,16,21,3 
STANDARDIZED MILK,48,33,15 
STARCH MAIZE,362,5,3 
STILLING OIL,884,0,1000 
STONE FRUIT ,52,9,3 
STRAWBERRIES,28,6,4 
STRING BEANS,27,16,1 
SUGAR BEETS ,70,13,1 
SUGAR CANE ,30,2,0 
SUGAR CONFECTIONARY ,310,0,0 
SUGAR CROPS ,390,0,0 
SUGAR NES ,310,0,0 
SUGAR REFINED,387,0,0 
SUGAR CENTRIFUGAL RAW,373,0,0 
SUGAR NON CENTRIFUGAL,351,10,0 
SUGARS FLAVOURED ,310,0,0 
SUNFLOWER SEED,308,123,268 
SWEET CORN FROZEN,54,18,4 
SWEET CORN PREPARED,77,23,6 
SWEET POTATO,92,7,2 
TALLOW ,884,0,1000 
TANGERINE JUICE,43,5,2 
TANGERINES ,32,5,1 
TARO ,86,15,2 
TEA ,40,100,0 
TEA NES ,40,100,0 
TOMATO CONCENTRATED ,76,34,4 
TOMATO PASTE,84,38,9 
TOMATO SINGLE STRENGTH ,17,8,1 
TOMATOES ,17,8,2 
TRITICALE ,327,116,21 
TUNG OIL ,884,0,1000 
TURKEY MEAT ,126,161,63 
VEAL ,163,149,120 
VEGETABLES PREPARED FROZEN DRIED,22,14,2 
VEGETABLE PREPARATIONS ,52,60,4 
VEGETABLE PREPARATIONS ,54,24,4 
VEGETABLES DRY NES,176,112,16 
VEGETABLES FRESH NES,22,14,2 
VEGETABLES DEHYDRATED ,341,66,13 
VEGETABLES FROZEN ,71,33,5 
VEGETABLES PRESERVED NES ,38,21,3 
VEGETABLES TEMP. PRESERVED,65,33,3 
VEGETABLES IN VINEGAR,29,14,13 
VEGETABLES CANNED NES,36,14,3 
VERMOUTH,137,1,0 
VETCHES ,325,315,19 
WAFERS ,439,92,131 
WALNUTS ,289,64,278 
WALNUTS SHELLED ,642,143,619 
WATERMELONS ,17,3,2 
WHOLE MILK CONDENSED,321,79,87 
WHOLE MILK EVAPORATED,134,68,76 
WHEAT ,334,122,23 
WHEAT FERMENTED BEVERAGES,60,19,3 
WHEAT GLUTEN,380,950,0 
WHEAT STARCH,362,5,3 
WHEY CHEESE ,72,124,10 
WHEY FRESH ,26,8,2 
WHEY CONDENSED,26,9,3 
WINE ,68,0,0 
YAMS ,101,13,2 
YAUTIA (COCOYAM),109,17,3 
YOGHURT ,61,35,33 
YOGHURT CONCENTRATED,82,47,15